"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"CP_EIA-3528-12_Kemet-T_Pad1.50x2.35mm_HandSolder";1;"100 nF";;;
2;"MK1";"MIC_MMICT5848-00-012";1;"MMICT5848-00-012";;;
3;"J2";"PinHeader_2x04_P2.54mm_Vertical";1;"Conn_02x04_Odd_Even";;;
4;"R1";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"100k";;;
